Debiasing,Imbalance,BA (base),BA (deb),DI (base),DI (deb),AOD (base),AOD (deb),SPD (base),SPD (deb),Theil (base),Theil (deb),EOD (base),EOD (deb),Improved
Baseline,SMOTE,0.8516483516483516,0.8516483516483516,0.9487179487179487,0.9487179487179487,-0.04134763622098184,-0.04134763622098184,-0.01709401709401709,-0.01709401709401709,0.07081171289808962,0.07081171289808962,-0.03629032258064513,-0.03629032258064513,0
Baseline,class_weight,0.8490842490842491,0.8490842490842491,0.9289529914529915,0.9289529914529915,-0.04593479218428459,-0.04593479218428459,-0.024186215675577383,-0.024186215675577383,0.07165257173349865,0.07165257173349865,-0.03629032258064513,-0.03629032258064513,0
DIR,SMOTE,0.8516483516483516,0.8808302808302808,0.9487179487179487,1.0293803418803418,-0.04134763622098184,-0.024124508764805902,-0.01709401709401709,0.010001818512456795,0.07081171289808962,0.055306210122089604,-0.03629032258064513,-0.03427419354838712,8
DIR,class_weight,0.8490842490842491,0.868009768009768,0.9289529914529915,0.9322689888727624,-0.04593479218428459,-0.047060288581319665,-0.024186215675577383,-0.02545917439534462,0.07165257173349865,0.05922008366149,-0.03629032258064513,-0.03427419354838712,7
Reweighing,SMOTE,0.8516483516483516,0.8595848595848596,0.9487179487179487,0.9743589743589745,-0.04134763622098184,-0.025218603962917335,-0.01709401709401709,-0.008547008547008517,0.07081171289808962,0.06670152044378475,-0.03629032258064513,-0.0040322580645161255,1
Reweighing,class_weight,0.8490842490842491,0.8490842490842491,0.9289529914529915,0.9289529914529915,-0.04593479218428459,-0.04593479218428459,-0.024186215675577383,-0.024186215675577383,0.07165257173349865,0.07165257173349865,-0.03629032258064513,-0.03629032258064513,0
AdversarialDebiasing,SMOTE,0.8516483516483516,0.8516483516483516,0.9487179487179487,0.9487179487179487,-0.04134763622098184,-0.04134763622098184,-0.01709401709401709,-0.01709401709401709,0.07081171289808962,0.07081171289808962,-0.03629032258064513,-0.03629032258064513,0
AdversarialDebiasing,class_weight,0.8490842490842491,0.8490842490842491,0.9289529914529915,0.9289529914529915,-0.04593479218428459,-0.04593479218428459,-0.024186215675577383,-0.024186215675577383,0.07165257173349865,0.07165257173349865,-0.03629032258064513,-0.03629032258064513,0
PrejudiceRemover,SMOTE,0.8516483516483516,0.8516483516483516,0.9487179487179487,0.9487179487179487,-0.04134763622098184,-0.04134763622098184,-0.01709401709401709,-0.01709401709401709,0.07081171289808962,0.07081171289808962,-0.03629032258064513,-0.03629032258064513,0
PrejudiceRemover,class_weight,0.8490842490842491,0.8490842490842491,0.9289529914529915,0.9289529914529915,-0.04593479218428459,-0.04593479218428459,-0.024186215675577383,-0.024186215675577383,0.07165257173349865,0.07165257173349865,-0.03629032258064513,-0.03629032258064513,0
RejectOption,SMOTE,0.8516483516483516,0.861904761904762,0.9487179487179487,1.0903540903540905,-0.04134763622098184,0.008755019890293675,-0.01709401709401709,0.026913984360792897,0.07081171289808962,0.06725631776092675,-0.03629032258064513,0.027217741935483875,5
RejectOption,class_weight,0.8490842490842491,0.8567765567765567,0.9289529914529915,1.040792540792541,-0.04593479218428459,-0.0004192920363118302,-0.024186215675577383,0.01272958719767231,0.07165257173349865,0.0690729166814159,-0.03629032258064513,0.027217741935483875,4
