Debiasing,Imbalance,BA (base),BA (deb),DI (base),DI (deb),AOD (base),AOD (deb),SPD (base),SPD (deb),Theil (base),Theil (deb),EOD (base),EOD (deb),Improved
Baseline,SMOTE,0.8831501831501831,0.8831501831501831,0.9487179487179487,0.9487179487179487,-0.0958140911374633,-0.0958140911374633,-0.01709401709401709,-0.01709401709401709,0.055905321918305835,0.055905321918305835,-0.19354838709677424,-0.19354838709677424,0
Baseline,class_weight,0.881074481074481,0.881074481074481,0.9095307208514756,0.9095307208514756,-0.08526500891277866,-0.08526500891277866,-0.034006182942353136,-0.034006182942353136,0.05365885575121421,0.05365885575121421,-0.12903225806451613,-0.12903225806451613,0
DIR,SMOTE,0.8831501831501831,0.8934065934065933,0.9487179487179487,0.986013986013986,-0.0958140911374633,-0.08786657673592713,-0.01709401709401709,-0.004364429896344779,0.055905321918305835,0.05213310654870978,-0.19354838709677424,-0.19354838709677424,5
DIR,class_weight,0.881074481074481,0.8915750915750915,0.9095307208514756,0.9501972386587771,-0.08526500891277866,-0.06454882069141141,-0.034006182942353136,-0.018366975813784325,0.05365885575121421,0.048845333663992366,-0.12903225806451613,-0.09677419354838712,4
Reweighing,SMOTE,0.8831501831501831,0.8857142857142857,0.9487179487179487,0.9693422519509475,-0.0958140911374633,-0.09122693517416054,-0.01709401709401709,-0.01000181851245685,0.055905321918305835,0.05499190068823641,-0.19354838709677424,-0.19354838709677424,1
Reweighing,class_weight,0.881074481074481,0.8833943833943834,0.9095307208514756,0.9158974358974359,-0.08526500891277866,-0.093446526769307,-0.034006182942353136,-0.0298236042916894,0.05365885575121421,0.05446968669038239,-0.12903225806451613,-0.16129032258064513,4
AdversarialDebiasing,SMOTE,0.8831501831501831,0.8831501831501831,0.9487179487179487,0.9487179487179487,-0.0958140911374633,-0.0958140911374633,-0.01709401709401709,-0.01709401709401709,0.055905321918305835,0.055905321918305835,-0.19354838709677424,-0.19354838709677424,0
AdversarialDebiasing,class_weight,0.881074481074481,0.881074481074481,0.9095307208514756,0.9095307208514756,-0.08526500891277866,-0.08526500891277866,-0.034006182942353136,-0.034006182942353136,0.05365885575121421,0.05365885575121421,-0.12903225806451613,-0.12903225806451613,0
PrejudiceRemover,SMOTE,0.8831501831501831,0.8831501831501831,0.9487179487179487,0.9487179487179487,-0.0958140911374633,-0.0958140911374633,-0.01709401709401709,-0.01709401709401709,0.055905321918305835,0.055905321918305835,-0.19354838709677424,-0.19354838709677424,0
PrejudiceRemover,class_weight,0.881074481074481,0.881074481074481,0.9095307208514756,0.9095307208514756,-0.08526500891277866,-0.08526500891277866,-0.034006182942353136,-0.034006182942353136,0.05365885575121421,0.05365885575121421,-0.12903225806451613,-0.12903225806451613,0
RejectOption,SMOTE,0.8831501831501831,0.8864468864468864,0.9487179487179487,1.13134484563056,-0.0958140911374633,-0.021717585359642674,-0.01709401709401709,0.04564466266593925,0.055905321918305835,0.05039005035211898,-0.19354838709677424,-0.09677419354838712,3
RejectOption,class_weight,0.881074481074481,0.891086691086691,0.9095307208514756,1.0712250712250713,-0.08526500891277866,-0.037529917169659394,-0.034006182942353136,0.022731405710129104,0.05365885575121421,0.051848366574643055,-0.12903225806451613,-0.09778225806451613,7
