Debiasing,Imbalance,BA (base),BA (deb),DI (base),DI (deb),AOD (base),AOD (deb),SPD (base),SPD (deb),Theil (base),Theil (deb),EOD (base),EOD (deb),Improved
Baseline,SMOTE,0.8554334554334555,0.8554334554334555,0.9350132625994696,0.9350132625994696,-0.07913102128743195,-0.07913102128743195,-0.0267321331151118,-0.0267321331151118,0.060553856433914935,0.060553856433914935,-0.12903225806451613,-0.12903225806451613,0
Baseline,class_weight,0.8665445665445666,0.8665445665445666,0.957922419460881,0.957922419460881,-0.08151718979056691,-0.08151718979056691,-0.011638479723586115,-0.011638479723586115,0.06739314950202928,0.06739314950202928,-0.16431451612903225,-0.16431451612903225,0
DIR,SMOTE,0.8554334554334555,0.8826617826617826,0.9350132625994696,1.0846153846153845,-0.07913102128743195,-0.04744226480932162,-0.0267321331151118,0.02400436442989634,0.060553856433914935,0.058265788335339665,-0.12903225806451613,-0.13104838709677424,24
DIR,class_weight,0.8665445665445666,0.8667887667887668,0.957922419460881,0.9699812382739212,-0.08151718979056691,-0.09010143877712548,-0.011638479723586115,-0.008728859792689558,0.06739314950202928,0.06647192867858018,-0.16431451612903225,-0.19556451612903225,5
Reweighing,SMOTE,0.8554334554334555,0.8554334554334555,0.9350132625994696,0.9350132625994696,-0.07913102128743195,-0.07913102128743195,-0.0267321331151118,-0.0267321331151118,0.060553856433914935,0.060553856433914935,-0.12903225806451613,-0.12903225806451613,0
Reweighing,class_weight,0.8665445665445666,0.8665445665445666,0.957922419460881,0.957922419460881,-0.08151718979056691,-0.08151718979056691,-0.011638479723586115,-0.011638479723586115,0.06739314950202928,0.06739314950202928,-0.16431451612903225,-0.16431451612903225,0
AdversarialDebiasing,SMOTE,0.8554334554334555,0.8554334554334555,0.9350132625994696,0.9350132625994696,-0.07913102128743195,-0.07913102128743195,-0.0267321331151118,-0.0267321331151118,0.060553856433914935,0.060553856433914935,-0.12903225806451613,-0.12903225806451613,0
AdversarialDebiasing,class_weight,0.8665445665445666,0.8665445665445666,0.957922419460881,0.957922419460881,-0.08151718979056691,-0.08151718979056691,-0.011638479723586115,-0.011638479723586115,0.06739314950202928,0.06739314950202928,-0.16431451612903225,-0.16431451612903225,0
PrejudiceRemover,SMOTE,0.8554334554334555,0.8554334554334555,0.9350132625994696,0.9350132625994696,-0.07913102128743195,-0.07913102128743195,-0.0267321331151118,-0.0267321331151118,0.060553856433914935,0.060553856433914935,-0.12903225806451613,-0.12903225806451613,0
PrejudiceRemover,class_weight,0.8665445665445666,0.8665445665445666,0.957922419460881,0.957922419460881,-0.08151718979056691,-0.08151718979056691,-0.011638479723586115,-0.011638479723586115,0.06739314950202928,0.06739314950202928,-0.16431451612903225,-0.16431451612903225,0
RejectOption,SMOTE,0.8554334554334555,0.8603174603174604,0.9350132625994696,1.0428994082840237,-0.07913102128743195,-0.040570241470918186,-0.0267321331151118,0.015821058374249908,0.060553856433914935,0.06136153636455388,-0.12903225806451613,-0.09778225806451613,5
RejectOption,class_weight,0.8665445665445666,0.8665445665445666,0.957922419460881,0.957922419460881,-0.08151718979056691,-0.08151718979056691,-0.011638479723586115,-0.011638479723586115,0.06739314950202928,0.06739314950202928,-0.16431451612903225,-0.16431451612903225,0
