Debiasing,Imbalance,BA (base),BA (deb),DI (base),DI (deb),AOD (base),AOD (deb),SPD (base),SPD (deb),Theil (base),Theil (deb),EOD (base),EOD (deb),Improved
Baseline,SMOTE,0.870940170940171,0.870940170940171,1.1220159151193636,1.1220159151193636,-0.04714083480732567,-0.04714083480732567,0.025095471903982564,0.025095471903982564,0.06616824151827669,0.06616824151827669,-0.13407258064516125,-0.13407258064516125,0
Baseline,class_weight,0.8695970695970696,0.8695970695970696,0.952892069171139,0.952892069171139,-0.08314671844566648,-0.08314671844566648,-0.014366248408801574,-0.014366248408801574,0.06438093886737549,0.06438093886737549,-0.16330645161290325,-0.16330645161290325,0
DIR,SMOTE,0.870940170940171,0.8898656898656898,1.1220159151193636,1.098793363499246,-0.04714083480732567,-0.04826633120436073,0.025095471903982564,0.023822513184215327,0.06616824151827669,0.056260770573161575,-0.13407258064516125,-0.13205645161290325,5
DIR,class_weight,0.8695970695970696,0.8796092796092796,0.952892069171139,0.8230143839899938,-0.08314671844566648,-0.1405241290253756,-0.014366248408801574,-0.05146390252773228,0.06438093886737549,0.061028321843173305,-0.16330645161290325,-0.25907258064516125,12
Reweighing,SMOTE,0.870940170940171,0.8711843711843712,1.1220159151193636,1.1273779983457402,-0.04714083480732567,-0.03437216098749458,0.025095471903982564,0.028005091834879065,0.06616824151827669,0.06606052451299088,-0.13407258064516125,-0.10181451612903225,1
Reweighing,class_weight,0.8695970695970696,0.8695970695970696,0.952892069171139,1.0042735042735043,-0.08314671844566648,-0.07274560899399163,-0.014366248408801574,0.0012729587197672365,0.06438093886737549,0.06438093886737549,-0.16330645161290325,-0.16330645161290325,4
AdversarialDebiasing,SMOTE,0.870940170940171,0.870940170940171,1.1220159151193636,1.1220159151193636,-0.04714083480732567,-0.04714083480732567,0.025095471903982564,0.025095471903982564,0.06616824151827669,0.06616824151827669,-0.13407258064516125,-0.13407258064516125,0
AdversarialDebiasing,class_weight,0.8695970695970696,0.8695970695970696,0.952892069171139,0.952892069171139,-0.08314671844566648,-0.08314671844566648,-0.014366248408801574,-0.014366248408801574,0.06438093886737549,0.06438093886737549,-0.16330645161290325,-0.16330645161290325,0
PrejudiceRemover,SMOTE,0.870940170940171,0.870940170940171,1.1220159151193636,1.1220159151193636,-0.04714083480732567,-0.04714083480732567,0.025095471903982564,0.025095471903982564,0.06616824151827669,0.06616824151827669,-0.13407258064516125,-0.13407258064516125,0
PrejudiceRemover,class_weight,0.8695970695970696,0.8695970695970696,0.952892069171139,0.952892069171139,-0.08314671844566648,-0.08314671844566648,-0.014366248408801574,-0.014366248408801574,0.06438093886737549,0.06438093886737549,-0.16330645161290325,-0.16330645161290325,0
RejectOption,SMOTE,0.870940170940171,0.870940170940171,1.1220159151193636,1.1220159151193636,-0.04714083480732567,-0.04714083480732567,0.025095471903982564,0.025095471903982564,0.06616824151827669,0.06616824151827669,-0.13407258064516125,-0.13407258064516125,0
RejectOption,class_weight,0.8695970695970696,0.8759462759462759,0.952892069171139,1.13134484563056,-0.08314671844566648,-0.010679741322945427,-0.014366248408801574,0.04564466266593925,0.06438093886737549,0.055170375735291016,-0.16330645161290325,-0.06552419354838712,5
